team_context_id,team_abbr,player_id,player_position,nfl_id,resilience_score,samples
00000000-0000-0000-0000-000000000001,KC,DE #53887,DE,53887,0.577884,23
00000000-0000-0000-0000-000000000001,KC,DT #52792,DT,52792,0.538535,109
00000000-0000-0000-0000-000000000001,KC,DT #46144,DT,46144,0.473739,198
00000000-0000-0000-0000-000000000001,KC,OLB #54568,OLB,54568,0.465439,2424
00000000-0000-0000-0000-000000000001,KC,NT #41595,NT,41595,0.464411,65
00000000-0000-0000-0000-000000000001,KC,DE #54495,DE,54495,0.459093,630
00000000-0000-0000-0000-000000000001,KC,ILB #52471,ILB,52471,0.446344,4437
00000000-0000-0000-0000-000000000001,KC,ILB #47913,ILB,47913,0.442345,4741
00000000-0000-0000-0000-000000000001,KC,DE #52585,DE,52585,0.419347,149
00000000-0000-0000-0000-000000000001,KC,MLB #54877,MLB,54877,0.418861,1694
00000000-0000-0000-0000-000000000001,KC,MLB #53487,MLB,53487,0.417046,3555
00000000-0000-0000-0000-000000000001,KC,OLB #56265,OLB,56265,0.416182,777
00000000-0000-0000-0000-000000000001,KC,CB #56115,CB,56115,0.405853,726
00000000-0000-0000-0000-000000000001,KC,DE #55895,DE,55895,0.378676,254
00000000-0000-0000-0000-000000000001,KC,CB #54486,CB,54486,0.334246,9227
00000000-0000-0000-0000-000000000001,KC,SS #46137,SS,46137,0.250364,9247
00000000-0000-0000-0000-000000000001,KC,CB #54708,CB,54708,0.245063,5076
00000000-0000-0000-0000-000000000001,KC,SS #55984,SS,55984,0.215638,3136
00000000-0000-0000-0000-000000000001,KC,SS #43413,SS,43413,0.207482,903
00000000-0000-0000-0000-000000000001,KC,CB #54600,CB,54600,0.203758,3710
00000000-0000-0000-0000-000000000001,KC,CB #52546,CB,52546,0.201112,9802
00000000-0000-0000-0000-000000000001,KC,FS #47882,FS,47882,0.198632,7237
00000000-0000-0000-0000-000000000001,KC,FS #54527,FS,54527,0.131876,5945
00000000-0000-0000-0000-000000000001,KC,CB #56668,CB,56668,0.112862,168
00000000-0000-0000-0000-000000000002,SEA,OLB #37792,OLB,37792,0.611996,54
00000000-0000-0000-0000-000000000002,SEA,OLB #54505,OLB,54505,0.485405,523
00000000-0000-0000-0000-000000000002,SEA,OLB #42406,OLB,42406,0.442275,46
00000000-0000-0000-0000-000000000002,SEA,OLB #47854,OLB,47854,0.433650,205
00000000-0000-0000-0000-000000000002,SEA,OLB #55902,OLB,55902,0.422314,393
00000000-0000-0000-0000-000000000002,SEA,ILB #52435,ILB,52435,0.414441,7648
00000000-0000-0000-0000-000000000002,SEA,ILB #56644,ILB,56644,0.414145,17
00000000-0000-0000-0000-000000000002,SEA,MLB #47793,MLB,47793,0.413069,1589
00000000-0000-0000-0000-000000000002,SEA,MLB #38577,MLB,38577,0.397404,11144
00000000-0000-0000-0000-000000000002,SEA,OLB #46117,OLB,46117,0.388336,380
00000000-0000-0000-0000-000000000002,SEA,FS #54574,FS,54574,0.382274,1756
00000000-0000-0000-0000-000000000002,SEA,ILB #54014,ILB,54014,0.378910,59
00000000-0000-0000-0000-000000000002,SEA,CB #43314,CB,43314,0.339723,2672
00000000-0000-0000-0000-000000000002,SEA,DE #52456,DE,52456,0.329903,681
00000000-0000-0000-0000-000000000002,SEA,CB #55869,CB,55869,0.329612,9557
00000000-0000-0000-0000-000000000002,SEA,OLB #44818,OLB,44818,0.314908,5474
00000000-0000-0000-0000-000000000002,SEA,CB #53566,CB,53566,0.287848,7038
00000000-0000-0000-0000-000000000002,SEA,NT #43338,NT,43338,0.287357,61
00000000-0000-0000-0000-000000000002,SEA,SS #47891,SS,47891,0.252514,9794
00000000-0000-0000-0000-000000000002,SEA,CB #47941,CB,47941,0.234561,4663
00000000-0000-0000-0000-000000000002,SEA,CB #54618,CB,54618,0.230604,9741
00000000-0000-0000-0000-000000000002,SEA,SS #56063,SS,56063,0.222467,260
00000000-0000-0000-0000-000000000002,SEA,FS #42543,FS,42543,0.109431,12364
00000000-0000-0000-0000-000000000002,SEA,FS #44865,FS,44865,0.005463,201
