team_context_id,team_abbr,nfl_id,player_id,player_position,player_side
00000000-0000-0000-0000-000000000001,KC,53887,DE #53887,DE,Defense
00000000-0000-0000-0000-000000000001,KC,52792,DT #52792,DT,Defense
00000000-0000-0000-0000-000000000001,KC,46144,DT #46144,DT,Defense
00000000-0000-0000-0000-000000000001,KC,54568,OLB #54568,OLB,Defense
00000000-0000-0000-0000-000000000001,KC,41595,NT #41595,NT,Defense
00000000-0000-0000-0000-000000000001,KC,54495,DE #54495,DE,Defense
00000000-0000-0000-0000-000000000001,KC,52471,ILB #52471,ILB,Defense
00000000-0000-0000-0000-000000000001,KC,47913,ILB #47913,ILB,Defense
00000000-0000-0000-0000-000000000001,KC,52585,DE #52585,DE,Defense
00000000-0000-0000-0000-000000000001,KC,54877,MLB #54877,MLB,Defense
00000000-0000-0000-0000-000000000001,KC,53487,MLB #53487,MLB,Defense
00000000-0000-0000-0000-000000000001,KC,56265,OLB #56265,OLB,Defense
00000000-0000-0000-0000-000000000001,KC,56115,CB #56115,CB,Defense
00000000-0000-0000-0000-000000000001,KC,55895,DE #55895,DE,Defense
00000000-0000-0000-0000-000000000001,KC,54486,CB #54486,CB,Defense
00000000-0000-0000-0000-000000000001,KC,46137,SS #46137,SS,Defense
00000000-0000-0000-0000-000000000001,KC,54708,CB #54708,CB,Defense
00000000-0000-0000-0000-000000000001,KC,55984,SS #55984,SS,Defense
00000000-0000-0000-0000-000000000001,KC,43413,SS #43413,SS,Defense
00000000-0000-0000-0000-000000000001,KC,54600,CB #54600,CB,Defense
00000000-0000-0000-0000-000000000001,KC,52546,CB #52546,CB,Defense
00000000-0000-0000-0000-000000000001,KC,47882,FS #47882,FS,Defense
00000000-0000-0000-0000-000000000001,KC,54527,FS #54527,FS,Defense
00000000-0000-0000-0000-000000000001,KC,56668,CB #56668,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,37792,OLB #37792,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,54505,OLB #54505,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,42406,OLB #42406,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,47854,OLB #47854,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,55902,OLB #55902,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,52435,ILB #52435,ILB,Defense
00000000-0000-0000-0000-000000000002,SEA,56644,ILB #56644,ILB,Defense
00000000-0000-0000-0000-000000000002,SEA,47793,MLB #47793,MLB,Defense
00000000-0000-0000-0000-000000000002,SEA,38577,MLB #38577,MLB,Defense
00000000-0000-0000-0000-000000000002,SEA,46117,OLB #46117,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,54574,FS #54574,FS,Defense
00000000-0000-0000-0000-000000000002,SEA,54014,ILB #54014,ILB,Defense
00000000-0000-0000-0000-000000000002,SEA,43314,CB #43314,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,52456,DE #52456,DE,Defense
00000000-0000-0000-0000-000000000002,SEA,55869,CB #55869,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,44818,OLB #44818,OLB,Defense
00000000-0000-0000-0000-000000000002,SEA,53566,CB #53566,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,43338,NT #43338,NT,Defense
00000000-0000-0000-0000-000000000002,SEA,47891,SS #47891,SS,Defense
00000000-0000-0000-0000-000000000002,SEA,47941,CB #47941,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,54618,CB #54618,CB,Defense
00000000-0000-0000-0000-000000000002,SEA,56063,SS #56063,SS,Defense
00000000-0000-0000-0000-000000000002,SEA,42543,FS #42543,FS,Defense
00000000-0000-0000-0000-000000000002,SEA,44865,FS #44865,FS,Defense
